[rosmaster.main][INFO] 2024-04-16 02:34:11,424: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-04-16 02:34:11,424: Starting ROS Master Node
[xmlrpc][INFO] 2024-04-16 02:34:11,427: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-04-16 02:34:11,427: Started XML-RPC server [http://tasneem-virtual-machine:11311/]
[xmlrpc][INFO] 2024-04-16 02:34:11,428: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-04-16 02:34:11,449: Master initialized: port[11311], uri[http://tasneem-virtual-machine:11311/]
[rosmaster.master][INFO] 2024-04-16 02:34:11,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-04-16 02:34:11,472: +PARAM [/roslaunch/uris/host_tasneem_virtual_machine__37373] by /roslaunch
[rosmaster.master][INFO] 2024-04-16 02:34:11,619: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-04-16 02:34:11,619: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-04-16 02:34:11,652: +SERVICE [/rosout/get_loggers] /rosout http://tasneem-virtual-machine:37869/
[rosmaster.master][INFO] 2024-04-16 02:34:11,653: +SERVICE [/rosout/set_logger_level] /rosout http://tasneem-virtual-machine:37869/
[rosmaster.master][INFO] 2024-04-16 02:34:11,656: +PUB [/rosout_agg] /rosout http://tasneem-virtual-machine:37869/
[rosmaster.master][INFO] 2024-04-16 02:34:11,665: +SUB [/rosout] /rosout http://tasneem-virtual-machine:37869/
[rosmaster.master][INFO] 2024-04-16 02:34:14,720: +PUB [/rosout] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,723: +SERVICE [/turtlesim/get_loggers] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,727: +SERVICE [/turtlesim/set_logger_level] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,738: publisherUpdate[/rosout] -> http://tasneem-virtual-machine:37869/ ['http://tasneem-virtual-machine:39947/']
[rosmaster.master][INFO] 2024-04-16 02:34:14,758: +PARAM [/turtlesim/background_r] by /turtlesim
[rosmaster.master][INFO] 2024-04-16 02:34:14,763: publisherUpdate[/rosout] -> http://tasneem-virtual-machine:37869/ ['http://tasneem-virtual-machine:39947/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2024-04-16 02:34:14,765: +PARAM [/turtlesim/background_g] by /turtlesim
[rosmaster.master][INFO] 2024-04-16 02:34:14,770: +PARAM [/turtlesim/background_b] by /turtlesim
[rosmaster.master][INFO] 2024-04-16 02:34:14,866: +SERVICE [/clear] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,868: +SERVICE [/reset] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,870: +SERVICE [/spawn] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,872: +SERVICE [/kill] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,875: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlesim
[rosmaster.master][INFO] 2024-04-16 02:34:14,887: +SUB [/turtle1/cmd_vel] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,889: +PUB [/turtle1/pose] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,891: +PUB [/turtle1/color_sensor] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,893: +SERVICE [/turtle1/set_pen] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,895: +SERVICE [/turtle1/teleport_relative] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:34:14,897: +SERVICE [/turtle1/teleport_absolute] /turtlesim http://tasneem-virtual-machine:39947/
[rosmaster.master][INFO] 2024-04-16 02:40:55,635: +PUB [/rosout] /turtlesim http://tasneem-virtual-machine:36537/
[rosmaster.master][INFO] 2024-04-16 02:40:55,639: publisherUpdate[/rosout] -> http://tasneem-virtual-machine:37869/ ['http://tasneem-virtual-machine:36537/']
[rosmaster.master][INFO] 2024-04-16 02:40:55,644: +SERVICE [/turtlesim/get_loggers] /turtlesim http://tasneem-virtual-machine:36537/
[rosmaster.master][INFO] 2024-04-16 02:40:55,647: +SERVICE [/turtlesim/set_logger_level] /turtlesim http://tasneem-virtual-machine:36537/
[rosmaster.master][INFO] 2024-04-16 02:40:55,653: publisherUpdate[/rosout] -> http://tasneem-virtual-machine:37869/ ['http://tasneem-virtual-machine:36537/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-04-16 02:40:55,757: +SERVICE [/clear] /turtlesim http://tasneem-virtual-machine:36537/
