[rosmaster.main][INFO] 2024-03-22 23:49:23,762: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-03-22 23:49:23,762: Starting ROS Master Node
[xmlrpc][INFO] 2024-03-22 23:49:23,764: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2024-03-22 23:49:23,765: Started XML-RPC server [http://tasneem-virtual-machine:11311/]
[xmlrpc][INFO] 2024-03-22 23:49:23,765: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-03-22 23:49:23,770: Master initialized: port[11311], uri[http://tasneem-virtual-machine:11311/]
[rosmaster.master][INFO] 2024-03-22 23:49:23,882: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-03-22 23:49:23,885: +PARAM [/roslaunch/uris/host_tasneem_virtual_machine__37961] by /roslaunch
[rosmaster.master][INFO] 2024-03-22 23:49:24,001: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-03-22 23:49:24,002: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-03-22 23:49:24,029: +SERVICE [/rosout/get_loggers] /rosout http://tasneem-virtual-machine:39783/
[rosmaster.master][INFO] 2024-03-22 23:49:24,031: +SERVICE [/rosout/set_logger_level] /rosout http://tasneem-virtual-machine:39783/
[rosmaster.master][INFO] 2024-03-22 23:49:24,034: +PUB [/rosout_agg] /rosout http://tasneem-virtual-machine:39783/
[rosmaster.master][INFO] 2024-03-22 23:49:24,040: +SUB [/rosout] /rosout http://tasneem-virtual-machine:39783/
[rosmaster.master][INFO] 2024-04-16 00:20:12,407: -PUB [/rosout_agg] /rosout http://tasneem-virtual-machine:39783/
[rosmaster.master][INFO] 2024-04-16 00:20:12,413: -SUB [/rosout] /rosout http://tasneem-virtual-machine:39783/
[rosmaster.master][INFO] 2024-04-16 00:20:12,415: -SERVICE [/rosout/get_loggers] /rosout rosrpc://tasneem-virtual-machine:55383
[rosmaster.master][INFO] 2024-04-16 00:20:12,416: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://tasneem-virtual-machine:55383
[rosmaster.main][INFO] 2024-04-16 00:20:12,584: keyboard interrupt, will exit
[rosmaster.main][INFO] 2024-04-16 00:20:12,585: stopping master...
[rospy.core][INFO] 2024-04-16 00:20:12,589: signal_shutdown [atexit]
